Definition,NumberScale,IndicatorType,MeasurementType,IsQuickStat,ShortName,IndicatorId,Level1,IndicatorTotalId,Level2,Level3,SDRID,IndicatorOldId,TagIds,DenominatorWeightedId,Label,IndicatorOrder,Denominator,QuickStatOrder,IndicatorSpecial1Id,DenominatorUnweightedId,IndicatorSpecial2Id
Risk ratio of children born in the last five years preceding the survey with a birth interval < 24 months. Risk ratio is the ratio of the proportion dead among births in a specific high-risk category to the proportion dead among births not in any high-risk category.,2,I,Ratio,0,Risk ratio for births in single high-risk category: Birth interval <24 months ,CM_HRFR_C_B24,Infant and Child Mortality,,High-risk fertility behaviour: risk ratio,Children,CMHRFRCB24,73250004,,,High-risk fertility risk ratio: Birth interval < 24 months,63306050,Births in five years preceding survey,,,CM_HRFR_U_B24,
Risk ratio of children born in the last five years preceding the survey with a birth order > 3. Risk ratio is the ratio of the proportion dead among births in a specific high-risk category to the proportion dead among births not in any high-risk category.,2,I,Ratio,0,Risk ratio for births in single high-risk category: Birth order >3 ,CM_HRFR_C_BO3,Infant and Child Mortality,,High-risk fertility behaviour: risk ratio,Children,CMHRFRCBO3,73250005,,,High-risk fertility risk ratio: Birth order > 3,63306060,Births in five years preceding survey,,,CM_HRFR_U_BO3,
Risk ratio of children born in the last five years preceding the survey in a single high-risk category. Risk ratio is the ratio of the proportion dead among births in a specific high-risk category to the proportion dead among births not in any high-risk category.,2,I,Ratio,0,Risk ratio for births in single high-risk category: Subtotal,CM_HRFR_C_SNG,Infant and Child Mortality,,High-risk fertility behaviour: risk ratio,Children,CMHRFRCSNG,73250006,,,High-risk fertility risk ratio: Single risk category,63306070,Births in five years preceding survey,,,CM_HRFR_U_SNG,
Risk ratio of children born in the last five years preceding the survey to mothers age < 18 and with a birth interval < 24 months. Risk ratio is the ratio of the proportion dead among births in a specific high-risk category to the proportion dead among births not in any high-risk category.,2,I,Ratio,0,Risk ratio for births in multiple high-risk category: Age <18 and birth interval <24 months,CM_HRFR_C_A1B,Infant and Child Mortality,,High-risk fertility behaviour: risk ratio,Children,CMHRFRCA1B,73250007,,,High-risk fertility risk ratio: Age < 18 & birth interval < 24 months,63306080,Births in five years preceding survey,,,CM_HRFR_U_A1B,
Risk ratio of children born in the last five years preceding the survey to mothers age > 34 and with a birth interval < 24 months. Risk ratio is the ratio of the proportion dead among births in a specific high-risk category to the proportion dead among births not in any high-risk category.,2,I,Ratio,0,Risk ratio for births in multiple high-risk category: Age >34 and birth interval <24 months ,CM_HRFR_C_A2B,Infant and Child Mortality,,High-risk fertility behaviour: risk ratio,Children,CMHRFRCA2B,73250008,,,High-risk fertility risk ratio: Age > 34 & birth interval < 24 months,63306090,Births in five years preceding survey,,,CM_HRFR_U_A2B,
Risk ratio of children born in the last five years preceding the survey to mothers age > 34 and with a birth order > 3. Risk ratio is the ratio of the proportion dead among births in a specific high-risk category to the proportion dead among births not in any high-risk category.,2,I,Ratio,0,Risk ratio for births in multiple high-risk category: Age >34 and birth order >3 ,CM_HRFR_C_ABO,Infant and Child Mortality,,High-risk fertility behaviour: risk ratio,Children,CMHRFRCABO,73250009,,,High-risk fertility risk ratio: Age > 34 & birth order > 3,63306100,Births in five years preceding survey,,,CM_HRFR_U_ABO,
Risk ratio of children born in the last five years preceding the survey to mothers age > 34 and with a birth interval < 24 and birth order > 3. Risk ratio is the ratio of the proportion dead among births in a specific high-risk category to the proportion dead among births not in any high-risk category.,2,I,Ratio,0,Risk ratio for births in multiple high-risk category: Age >34 and birth interval <24 months and birth order >3 ,CM_HRFR_C_A3B,Infant and Child Mortality,,High-risk fertility behaviour: risk ratio,Children,CMHRFRCA3B,73250010,,,"High-risk fertility risk ratio: Age > 34, birth interval < 24 and birth order > 3",63306110,Births in five years preceding survey,,,CM_HRFR_U_A3B,
Risk ratio of children born in the last five years preceding the survey with a birth interval < 24 and a birth order > 3. Risk ratio is the ratio of the proportion dead among births in a specific high-risk category to the proportion dead among births not in any high-risk category.,2,I,Ratio,0,Risk ratio for births in multiple high-risk category: Birth interval <24 months and birth order >3 ,CM_HRFR_C_BIO,Infant and Child Mortality,,High-risk fertility behaviour: risk ratio,Children,CMHRFRCBIO,73250011,,,High-risk fertility risk ratio: Birth interval < 24 & birth order > 3,63306120,Births in five years preceding survey,,,CM_HRFR_U_BIO,
Risk ratio of children born in the last five years preceding the survey in multiple high-risk categories. Risk ratio is the ratio of the proportion dead among births in a specific high-risk category to the proportion dead among births not in any high-risk category.,2,I,Ratio,0,Risk ratio for births in multiple high-risk category: Subtotal ,CM_HRFR_C_MLT,Infant and Child Mortality,,High-risk fertility behaviour: risk ratio,Children,CMHRFRCMLT,73250012,,,High-risk fertility risk ratio: Multiple risk categories,63306130,Births in five years preceding survey,,,CM_HRFR_U_MLT,
Risk ratio of children born in the last five years preceding the survey in any high-risk category. Risk ratio is the ratio of the proportion dead among births in a specific high-risk category to the proportion dead among births not in any high-risk category.,2,I,Ratio,0,Risk ratio for births in any avoidable high-risk category,CM_HRFR_C_ANY,Infant and Child Mortality,,High-risk fertility behaviour: risk ratio,Children,CMHRFRCANY,73250013,,,High-risk fertility risk ratio: In any avoidable risk category,63306140,Births in five years preceding survey,,,CM_HRFR_U_ANY,
Risk ratio of children born in the last five years preceding the survey to mothers age < 18. Risk ratio is the ratio of the proportion dead among births in a specific risk category to the proportion dead among births not in any risk category.,2,I,Ratio,0,Risk ratio for births in high-risk category: Mother's age <18 subtotal,CM_HRFR_C_A1S,Infant and Child Mortality,,High-risk fertility behaviour: risk ratio,Children,CMHRFRCA1S,,,,High-risk fertility risk ratio: Mother's age < 18 subtotal,63306150,Births in five years preceding survey,,,CM_HRFR_U_A1S,
Risk ratio of children born in the last five years preceding the survey to mothers age > 34. Risk ratio is the ratio of the proportion dead among births in a specific risk category to the proportion dead among births not in any risk category.,2,I,Ratio,0,Risk ratio for births in high-risk category: Mother's age >34 subtotal,CM_HRFR_C_A3S,Infant and Child Mortality,,High-risk fertility behaviour: risk ratio,Children,CMHRFRCA3S,,,,High-risk fertility risk ratio: Mother's age > 34 subtotal,63306160,Births in five years preceding survey,,,CM_HRFR_U_A3S,
Risk ratio of children born in the last five years preceding the survey with a birth interval < 24 months. Risk ratio is the ratio of the proportion dead among births in a specific risk category to the proportion dead among births not in any risk category.,2,I,Ratio,0,Risk ratio for births in high-risk category: Birth interval <24 months subtotal,CM_HRFR_C_B1S,Infant and Child Mortality,,High-risk fertility behaviour: risk ratio,Children,CMHRFRCB1S,,,,High-risk fertility risk ratio: Birth interval < 24 months subtotal,63306170,Births in five years preceding survey,,,CM_HRFR_U_B1S,
Risk ratio of children born in the last five years preceding the survey with a birth order > 3. Risk ratio is the ratio of the proportion dead among births in a specific risk category to the proportion dead among births not in any risk category.,2,I,Ratio,0,Risk ratio for births in high-risk category: Birth order >3 subtotal,CM_HRFR_C_B3S,Infant and Child Mortality,,High-risk fertility behaviour: risk ratio,Children,CMHRFRCB3S,,,,High-risk fertility risk ratio: Birth order > 3 subtotal,63306180,Births in five years preceding survey,,,CM_HRFR_U_B3S,
Number of children (unweighted) born in the last five years preceding the survey not in any high-risk category,0,U,Number,0,Births (unweighted) not in any high-risk category,CM_HRFR_U_NON,Infant and Child Mortality,,High-risk fertility behaviour: risk ratio,Children (unw),CMHRFRUNON,,,,Number of births (unweighted) in risk category: Not in any risk category,63309010,Births in five years preceding survey,,,,
Number of children (unweighted) born in the last five years preceding the survey which are first births,0,U,Number,0,Births (unweighted) in unavoidable risk category: First-order births between ages 18 and 34,CM_HRFR_U_FOB,Infant and Child Mortality,,High-risk fertility behaviour: risk ratio,Children (unw),CMHRFRUFOB,,,,Number of births (unweighted) in risk category: First birth,63309020,Births in five years preceding survey,,,,
Number of children (unweighted) born in the last five years preceding the survey to mothers age < 18,0,U,Number,0,Births (unweighted) in single high-risk category: Mother's age <18 ,CM_HRFR_U_A18,Infant and Child Mortality,,High-risk fertility behaviour: risk ratio,Children (unw),CMHRFRUA18,,,,Number of births (unweighted) in risk category: Mother's age < 18,63309030,Births in five years preceding survey,,,,
Number of children (unweighted) born in the last five years preceding the survey to mothers age > 34,0,U,Number,0,Births (unweighted) in single high-risk category: Mother's age >34 ,CM_HRFR_U_A34,Infant and Child Mortality,,High-risk fertility behaviour: risk ratio,Children (unw),CMHRFRUA34,,,,Number of births (unweighted) in risk category: Mother's age > 34,63309040,Births in five years preceding survey,,,,
Number of children (unweighted) born in the last five years preceding the survey with a birth interval < 24 months,0,U,Number,0,Births (unweighted) in single high-risk category: Birth interval <24 months ,CM_HRFR_U_B24,Infant and Child Mortality,,High-risk fertility behaviour: risk ratio,Children (unw),CMHRFRUB24,,,,Number of births (unweighted) in risk category: Birth interval < 24 months,63309050,Births in five years preceding survey,,,,
Number of children (unweighted) born in the last five years preceding the survey with a birth order > 3,0,U,Number,0,Births (unweighted) in single high-risk category: Birth order >3 ,CM_HRFR_U_BO3,Infant and Child Mortality,,High-risk fertility behaviour: risk ratio,Children (unw),CMHRFRUBO3,,,,Number of births (unweighted) in risk category: Birth order > 3,63309060,Births in five years preceding survey,,,,
Number of children (unweighted) born in the last five years preceding the survey in a single high-risk category,0,U,Number,0,Births (unweighted) in single high-risk category: Subtotal,CM_HRFR_U_SNG,Infant and Child Mortality,,High-risk fertility behaviour: risk ratio,Children (unw),CMHRFRUSNG,,,,Number of births (unweighted) in risk category: Single risk category,63309070,Births in five years preceding survey,,,,
Number of children (unweighted) born in the last five years preceding the survey to mothers age < 18 and with a birth interval < 24 months,0,U,Number,0,Births (unweighted) in multiple high-risk category: Age <18 and birth interval <24 months,CM_HRFR_U_A1B,Infant and Child Mortality,,High-risk fertility behaviour: risk ratio,Children (unw),CMHRFRUA1B,,,,Number of births (unweighted) in risk category: Age < 18 & birth interval < 24 months,63309080,Births in five years preceding survey,,,,
Number of children (unweighted) born in the last five years preceding the survey to mothers age > 34 and with a birth interval < 24 months,0,U,Number,0,Births (unweighted) in multiple high-risk category: Age >34 and birth interval <24 months ,CM_HRFR_U_A2B,Infant and Child Mortality,,High-risk fertility behaviour: risk ratio,Children (unw),CMHRFRUA2B,,,,Number of births (unweighted) in risk category: Age > 34 & birth interval < 24 months,63309090,Births in five years preceding survey,,,,
